Date,Name,Close,High,Low,Open,Volume
02/28/2002,GameStop Corp Class A,2.3875,2.43125,2.3875,2.4,"343,900",
03/01/2002,GameStop Corp Class A,2.42125,2.44375,2.3725,2.38125,"239,200",
03/04/2002,GameStop Corp Class A,2.4625,2.47625,2.4275,2.43125,"397,600",
03/05/2002,GameStop Corp Class A,2.40625,2.45625,2.395,2.45,"430,600",
03/06/2002,GameStop Corp Class A,2.41875,2.42875,2.4,2.405,"164,600",
03/07/2002,GameStop Corp Class A,2.5525,2.575,2.41875,2.41875,"337,600",
03/08/2002,GameStop Corp Class A,2.6125,2.625,2.5375,2.5375,"200,100",
03/11/2002,GameStop Corp Class A,2.64625,2.675,2.59375,2.6,"679,800",
03/12/2002,GameStop Corp Class A,2.65,2.7375,2.625,2.625,"727,400",
03/13/2002,GameStop Corp Class A,2.6275,2.6875,2.58125,2.65,"632,900",
03/14/2002,GameStop Corp Class A,2.625,2.64875,2.605,2.6275,"212,100",
03/15/2002,GameStop Corp Class A,2.54375,2.6375,2.4875,2.625,"213,500",
03/18/2002,GameStop Corp Class A,2.4125,2.55,2.38125,2.55,"275,900",
03/19/2002,GameStop Corp Class A,2.3375,2.435,2.325,2.43125,"403,700",
03/20/2002,GameStop Corp Class A,2.2525,2.31875,2.125,2.31875,"1,154,500",
03/21/2002,GameStop Corp Class A,2.34375,2.40625,2.2525,2.2525,"584,100",
03/22/2002,GameStop Corp Class A,2.4125,2.44875,2.31375,2.34375,"311,800",
03/25/2002,GameStop Corp Class A,2.465,2.47625,2.3975,2.4375,"946,400",
03/26/2002,GameStop Corp Class A,2.4975,2.5125,2.4725,2.5,"227,100",
03/27/2002,GameStop Corp Class A,2.575,2.625,2.4875,2.4975,"171,200",
03/28/2002,GameStop Corp Class A,2.525,2.575,2.5125,2.5625,"214,300",
04/01/2002,GameStop Corp Class A,2.38125,2.50625,2.375,2.50625,"235,000",
04/02/2002,GameStop Corp Class A,2.33,2.375,2.29375,2.375,"262,300",
04/03/2002,GameStop Corp Class A,2.325,2.35,2.305,2.33125,"70,900",
04/04/2002,GameStop Corp Class A,2.36875,2.38125,2.31875,2.31875,"95,400",
04/05/2002,GameStop Corp Class A,2.31125,2.425,2.31125,2.36875,"104,700",
04/08/2002,GameStop Corp Class A,2.2875,2.325,2.22125,2.325,"194,800",
04/09/2002,GameStop Corp Class A,2.36875,2.4,2.275,2.275,"445,300",
04/10/2002,GameStop Corp Class A,2.365,2.38125,2.34375,2.3625,"162,800",
04/11/2002,GameStop Corp Class A,2.3125,2.36375,2.3125,2.36375,"180,500",
04/12/2002,GameStop Corp Class A,2.28125,2.33125,2.2575,2.33125,"154,500",
04/15/2002,GameStop Corp Class A,2.32,2.32125,2.27375,2.275,"194,900",
04/16/2002,GameStop Corp Class A,2.375,2.4,2.34375,2.34375,"153,200",
04/17/2002,GameStop Corp Class A,2.47625,2.53125,2.40625,2.40625,"418,600",
04/18/2002,GameStop Corp Class A,2.47625,2.51875,2.4675,2.47625,"123,100",
04/19/2002,GameStop Corp Class A,2.53375,2.54375,2.47625,2.47625,"80,800",
04/22/2002,GameStop Corp Class A,2.5,2.51875,2.47625,2.51875,"96,600",
04/23/2002,GameStop Corp Class A,2.44375,2.53125,2.4375,2.49375,"103,100",
04/24/2002,GameStop Corp Class A,2.42625,2.45125,2.425,2.44,"133,100",
04/25/2002,GameStop Corp Class A,2.425,2.42625,2.39625,2.42625,"215,900",
04/26/2002,GameStop Corp Class A,2.40625,2.4475,2.40625,2.4125,"206,700",
04/29/2002,GameStop Corp Class A,2.3625,2.39375,2.35,2.39375,"320,300",
04/30/2002,GameStop Corp Class A,2.38125,2.4125,2.3375,2.34375,"861,800",
05/01/2002,GameStop Corp Class A,2.5625,2.5625,2.4125,2.4125,"209,000",
05/02/2002,GameStop Corp Class A,2.60375,2.62375,2.55,2.55,"414,500",
