Date,Name,Close,High,Low,Open,Volume
12/29/2000,Golden Ocean Group Ltd,98.9066726781,98.9066726781,92.9891794409,92.9891794409,"267,200",
01/02/2001,Golden Ocean Group Ltd,101.4427412083,110.4598737601,101.1609558161,105.9513074842,"306,800",
01/03/2001,Golden Ocean Group Ltd,100.8791704238,106.2330928765,94.1163210099,106.2330928765,"345,100",
01/04/2001,Golden Ocean Group Ltd,98.6248872858,100.8791704238,95.5252479711,100.8791704238,"171,900",
01/05/2001,Golden Ocean Group Ltd,97.2159603246,100.3155996393,96.3706041479,100.3155996393,"224,900",
01/08/2001,Golden Ocean Group Ltd,101.4427412083,104.2605951307,97.7795311091,97.7795311091,"482,600",
01/09/2001,Golden Ocean Group Ltd,101.4427412083,103.6970243463,101.1609558161,102.8516681695,"274,900",
01/10/2001,Golden Ocean Group Ltd,102.8516681695,103.6970243463,100.3155996393,102.0063119928,"224,600",
01/11/2001,Golden Ocean Group Ltd,103.415238954,104.2605951307,102.5698827773,103.6970243463,"271,600",
01/12/2001,Golden Ocean Group Ltd,102.5698827773,103.9788097385,100.3860459874,103.9788097385,"136,800",
01/16/2001,Golden Ocean Group Ltd,108.2055906222,112.1505861136,104.2605951307,104.2605951307,"500,000",
01/17/2001,Golden Ocean Group Ltd,106.5148782687,108.7691614067,103.5561316501,108.3464833183,"290,900",
01/18/2001,Golden Ocean Group Ltd,103.415238954,108.7691614067,102.5698827773,105.3877366997,"325,000",
01/19/2001,Golden Ocean Group Ltd,106.796663661,108.2055906222,104.8241659152,105.9513074842,"264,400",
01/22/2001,Golden Ocean Group Ltd,111.0234445446,112.1505861136,106.796663661,107.6420198377,"271,700",
01/23/2001,Golden Ocean Group Ltd,110.1780883679,113.5595130748,109.8963029757,111.5870153291,"439,600",
01/24/2001,Golden Ocean Group Ltd,103.6970243463,106.5148782687,99.1884580703,103.6970243463,"336,300",
01/25/2001,Golden Ocean Group Ltd,103.1334535618,106.2330928765,100.3155996393,104.8241659152,"256,200",
01/26/2001,Golden Ocean Group Ltd,103.6970243463,104.8241659152,101.4427412083,102.5698827773,"132,000",
01/29/2001,Golden Ocean Group Ltd,104.8241659152,109.3327321912,103.6970243463,104.2605951307,"132,000",
01/30/2001,Golden Ocean Group Ltd,103.9788097385,107.0784490532,103.415238954,105.1059513075,"147,200",
01/31/2001,Golden Ocean Group Ltd,104.2605951307,107.0784490532,103.6970243463,107.0784490532,"236,400",
02/01/2001,Golden Ocean Group Ltd,104.8241659152,105.9513074842,102.5698827773,105.9513074842,"177,600",
02/02/2001,Golden Ocean Group Ltd,105.669522092,105.669522092,104.2605951307,105.669522092,"116,800",
02/05/2001,Golden Ocean Group Ltd,93.5527502254,105.669522092,93.3414111812,105.669522092,"446,100",
02/06/2001,Golden Ocean Group Ltd,94.6798917944,96.9341749324,91.5802524797,94.6798917944,"251,400",
02/07/2001,Golden Ocean Group Ltd,93.5527502254,98.6248872858,92.4256086564,93.5527502254,"243,700",
02/08/2001,Golden Ocean Group Ltd,94.3981064022,95.5252479711,93.5527502254,94.5389990983,"418,900",
02/09/2001,Golden Ocean Group Ltd,94.6798917944,94.6798917944,93.2709648332,94.1163210099,"88,900",
