Date,Name,Close,High,Low,Open,Volume
08/31/2000,Ryder System Inc,19.1875,19.375,18.8125,19.1875,"270,900",
09/01/2000,Ryder System Inc,19.25,19.625,19.0625,19.0625,"224,500",
09/05/2000,Ryder System Inc,19.625,19.9375,19.3125,19.375,"398,600",
09/06/2000,Ryder System Inc,20.1875,20.8125,19.875,19.875,"693,100",
09/07/2000,Ryder System Inc,20,20.25,19.8125,20.25,"189,900",
09/08/2000,Ryder System Inc,19.8125,20.1875,19.5625,20.1875,"214,400",
09/11/2000,Ryder System Inc,19.875,20.125,19.75,19.875,"301,900",
09/12/2000,Ryder System Inc,19.9375,20.1875,19.75,20,"283,800",
09/13/2000,Ryder System Inc,20.375,20.5625,20,20.0625,"557,900",
09/14/2000,Ryder System Inc,20.1875,20.625,20,20.3125,"426,700",
09/15/2000,Ryder System Inc,20,20.1875,19.9375,20.0625,"476,000",
09/18/2000,Ryder System Inc,19.9375,20.0625,19.375,20,"413,600",
09/19/2000,Ryder System Inc,20.125,20.4375,19.0625,19.6875,"524,200",
09/20/2000,Ryder System Inc,20.375,20.625,20.125,20.125,"369,500",
09/21/2000,Ryder System Inc,20.0625,20.375,19.75,20.375,"278,000",
09/22/2000,Ryder System Inc,19.875,20,19.4375,20,"353,900",
09/25/2000,Ryder System Inc,19.75,20.25,19.6875,19.8125,"288,100",
09/26/2000,Ryder System Inc,19.188,19.75,18.625,19.63,"691,000",
09/27/2000,Ryder System Inc,18.8125,19.375,18.5625,19.3125,"365,600",
09/28/2000,Ryder System Inc,18.5625,19.0625,18.5,18.625,"339,100",
09/29/2000,Ryder System Inc,18.4375,18.75,18.3125,18.625,"250,900",
10/02/2000,Ryder System Inc,16.9375,18.25,16.5,18.125,"906,200",
10/03/2000,Ryder System Inc,16.5,17.125,16.3125,17.125,"813,400",
10/04/2000,Ryder System Inc,16.9375,17.1875,16.4375,16.6875,"594,900",
10/05/2000,Ryder System Inc,16.625,17.3125,16.3125,17.3125,"586,400",
10/06/2000,Ryder System Inc,15.9375,16.625,15.625,16.3125,"1,201,700",
10/09/2000,Ryder System Inc,16,16,15.6875,15.9375,"252,800",
10/10/2000,Ryder System Inc,17,17.3125,16.5625,16.75,"1,131,100",
10/11/2000,Ryder System Inc,16.75,16.75,16.4375,16.5,"421,800",
10/12/2000,Ryder System Inc,17.1875,18.25,16.75,17.625,"1,075,900",
10/13/2000,Ryder System Inc,17.375,17.625,17.0625,17.125,"738,000",
10/16/2000,Ryder System Inc,17.5,17.5625,16.875,17.5,"275,100",
10/17/2000,Ryder System Inc,16.9375,17.5,16.5625,17.4375,"327,900",
10/18/2000,Ryder System Inc,16.8125,17,16.5625,16.75,"198,000",
10/19/2000,Ryder System Inc,15.5,16.6875,14.8125,16.6875,"1,364,300",
10/20/2000,Ryder System Inc,16.5625,16.75,15.625,15.6875,"775,200",
10/23/2000,Ryder System Inc,15.3125,16.125,15,16.125,"682,900",
10/24/2000,Ryder System Inc,15.75,15.8125,15.375,15.5,"405,700",
10/25/2000,Ryder System Inc,15.875,16.25,15.3125,15.625,"513,800",
10/26/2000,Ryder System Inc,16.125,16.625,16,16.625,"259,500",
10/27/2000,Ryder System Inc,16.6875,17,15.875,16.25,"416,800",
10/30/2000,Ryder System Inc,18.8125,19.25,16.5,16.5,"1,704,200",
10/31/2000,Ryder System Inc,19.75,19.875,18.375,18.8125,"1,281,000",
11/01/2000,Ryder System Inc,18.8125,20.3125,18.625,19.375,"450,400",
11/02/2000,Ryder System Inc,19,19.4375,18.75,18.8125,"402,600",
11/03/2000,Ryder System Inc,18.75,19.25,18.75,19,"232,100",
11/06/2000,Ryder System Inc,19,19.5625,18.625,18.625,"191,200",
11/07/2000,Ryder System Inc,18.75,19.1875,18.375,19.0625,"297,900",
11/08/2000,Ryder System Inc,18.875,19.1875,18.75,18.75,"179,600",
11/09/2000,Ryder System Inc,18.8125,19,18.3125,18.9375,"241,100",
11/10/2000,Ryder System Inc,18.1875,18.75,18,18.625,"357,100",
11/13/2000,Ryder System Inc,18.8125,19.25,18,18,"308,100",
11/14/2000,Ryder System Inc,18.8125,19.1875,18.5625,18.8125,"192,900",
11/15/2000,Ryder System Inc,18.5,18.75,18.125,18.75,"244,400",
11/16/2000,Ryder System Inc,17.9375,18.375,17.5,18.375,"285,900",
11/17/2000,Ryder System Inc,17.6875,18,16.875,17.6875,"339,100",
11/20/2000,Ryder System Inc,17.375,17.8125,17,17.6875,"444,100",
11/21/2000,Ryder System Inc,17.375,17.5,17.25,17.5,"221,300",
11/22/2000,Ryder System Inc,16.9375,17.1875,16.6875,17,"180,500",
11/24/2000,Ryder System Inc,17,17.125,17,17.0625,"64,800",
11/27/2000,Ryder System Inc,17.4375,17.5625,16.8125,17.125,"214,700",
11/28/2000,Ryder System Inc,17.3125,17.5,16.625,17.1875,"372,200",
11/29/2000,Ryder System Inc,17.125,17.375,16.9375,17.3125,"159,100",
11/30/2000,Ryder System Inc,17.375,17.5,16.75,17.0625,"218,600",
12/01/2000,Ryder System Inc,17.375,17.625,17.1875,17.375,"121,800",
12/04/2000,Ryder System Inc,17.375,17.625,17.0625,17.25,"231,900",
12/05/2000,Ryder System Inc,18.25,18.875,17.1875,17.3125,"826,600",
12/06/2000,Ryder System Inc,17.625,18.25,17.375,18,"324,400",
12/07/2000,Ryder System Inc,17.375,18.0625,17.125,17.5625,"133,000",
12/08/2000,Ryder System Inc,17,17.5,16.5625,17.4375,"488,400",
12/11/2000,Ryder System Inc,16.6875,17.25,16.5625,17,"206,400",
12/12/2000,Ryder System Inc,17.1875,17.5,16.8125,16.875,"362,800",
12/13/2000,Ryder System Inc,16.5,17.4375,16.4375,17,"296,300",
12/14/2000,Ryder System Inc,16.625,16.9375,16.3125,16.625,"170,000",
12/15/2000,Ryder System Inc,15.6875,16.5,15.5,16.375,"413,600",
12/18/2000,Ryder System Inc,15.9375,16.25,15.75,15.9375,"432,900",
12/19/2000,Ryder System Inc,16.25,16.875,15.6875,15.8125,"280,500",
12/20/2000,Ryder System Inc,16,16.3125,15.25,16,"494,100",
12/21/2000,Ryder System Inc,16.375,16.5,15.8125,16,"466,600",
12/22/2000,Ryder System Inc,16.3125,16.5,15.9375,16,"154,100",
12/26/2000,Ryder System Inc,15.75,16.0625,15.4375,15.75,"435,800",
12/27/2000,Ryder System Inc,16,16.3125,15.75,15.75,"356,900",
12/28/2000,Ryder System Inc,16.75,17,15.8125,16,"380,300",
12/29/2000,Ryder System Inc,16.625,16.9375,16.625,16.75,"255,400",
01/02/2001,Ryder System Inc,16.1875,16.8125,16.1875,16.625,"179,000",
01/03/2001,Ryder System Inc,17.4375,17.5,16.0625,16.0625,"281,900",
01/04/2001,Ryder System Inc,17.375,17.8125,16.625,17.4375,"575,500",
01/05/2001,Ryder System Inc,17.25,17.8125,17.125,17.25,"230,700",
