Date,Name,Close,High,Low,Open,Volume
01/31/2005,Xcel Brands Inc,"1,406.2491","1,406.2491","1,145.8326","1,406.2491","4,825",
02/01/2005,Xcel Brands Inc,"1,302.0825","1,302.0825","1,145.8326","1,302.0825","2,325",
02/03/2005,Xcel Brands Inc,"1,041.666","1,041.666","1,041.666","1,041.666","1,000",
02/04/2005,Xcel Brands Inc,"1,041.666","1,041.666","1,041.666","1,041.666",500,
02/08/2005,Xcel Brands Inc,"1,093.7493","1,093.7493","1,041.666","1,093.7493","1,360",
02/09/2005,Xcel Brands Inc,"1,145.8326","1,145.8326","1,145.8326","1,145.8326","1,000",
02/11/2005,Xcel Brands Inc,"1,093.7493","1,093.7493","1,093.7493","1,093.7493","1,000",
02/14/2005,Xcel Brands Inc,"1,119.79095","1,171.87425","1,093.7493","1,119.79095","1,300",
02/15/2005,Xcel Brands Inc,"1,145.8326","1,145.8326","1,093.7493","1,145.8326","2,000",
02/17/2005,Xcel Brands Inc,989.5827,989.5827,989.5827,989.5827,"2,000",
02/18/2005,Xcel Brands Inc,"1,041.666","1,093.7493","1,041.666","1,041.666","4,990",
02/24/2005,Xcel Brands Inc,"1,145.8326","1,145.8326",937.4994,"1,145.8326","4,000",
02/25/2005,Xcel Brands Inc,"1,197.9159","1,197.9159","1,041.666","1,197.9159","2,500",
03/04/2005,Xcel Brands Inc,937.4994,937.4994,885.4161,937.4994,"1,500",
03/09/2005,Xcel Brands Inc,937.4994,937.4994,937.4994,937.4994,200,
03/10/2005,Xcel Brands Inc,859.37445,859.37445,859.37445,859.37445,"6,000",
03/11/2005,Xcel Brands Inc,911.45775,911.45775,703.12455,911.45775,"5,700",
03/15/2005,Xcel Brands Inc,937.4994,937.4994,937.4994,937.4994,"4,000",
03/16/2005,Xcel Brands Inc,"1,005.20769","1,005.20769","1,005.20769","1,005.20769",500,
03/22/2005,Xcel Brands Inc,807.29115,807.29115,807.29115,807.29115,570,
03/24/2005,Xcel Brands Inc,807.29115,807.29115,807.29115,807.29115,500,
03/28/2005,Xcel Brands Inc,781.2495,807.29115,468.7497,781.2495,"9,416",
03/29/2005,Xcel Brands Inc,833.3328,833.3328,833.3328,833.3328,"1,954",
03/31/2005,Xcel Brands Inc,833.3328,833.3328,833.3328,833.3328,880,
04/01/2005,Xcel Brands Inc,781.2495,833.3328,729.1662,781.2495,"5,000",
04/07/2005,Xcel Brands Inc,885.4161,885.4161,885.4161,885.4161,500,
04/08/2005,Xcel Brands Inc,833.3328,833.3328,833.3328,833.3328,"1,254",
04/13/2005,Xcel Brands Inc,729.1662,729.1662,729.1662,729.1662,"1,000",
04/14/2005,Xcel Brands Inc,572.9163,578.12463,572.9163,572.9163,"1,500",
04/15/2005,Xcel Brands Inc,578.12463,578.12463,578.12463,578.12463,500,
04/20/2005,Xcel Brands Inc,708.33288,708.33288,624.9996,651.04125,"3,222",
04/22/2005,Xcel Brands Inc,624.9996,729.1662,624.9996,729.1662,"4,378",
04/26/2005,Xcel Brands Inc,624.9996,624.9996,624.9996,624.9996,500,
05/10/2005,Xcel Brands Inc,729.1662,911.45775,729.1662,781.2495,"11,000",
